id,platform,masvs,type,profiles,has_manual,weakness,title,tier,base_tool,ci_feasible,ready_rule,gap_note,masvs_control,control_title
MASTG-TEST-0365,android,PLATFORM,"[static, config, code, manual]","[L1, L2]",yes,MASWE-0062,Exported And Unprotected Services That Expose Sensitive Functionality,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-PLATFORM-1,The app uses IPC mechanisms securely.
MASTG-TEST-0366,android,PLATFORM,"[static, config, code, manual]","[L1, L2]",yes,MASWE-0063,Exported And Unprotected Broadcast Receivers That Expose Sensitive Functionality,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-PLATFORM-1,The app uses IPC mechanisms securely.
MASTG-TEST-0381,android,PLATFORM,[static],"[L1, L2]",no,MASWE-0066,References to Insecure PendingIntent Creation,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PLATFORM-1,The app uses IPC mechanisms securely.
MASTG-TEST-0393,android,PLATFORM,"[static, config]","[L1, L2]",no,MASWE-0058,Use of Unverified App Links,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PLATFORM-1,The app uses IPC mechanisms securely.
MASTG-TEST-0394,android,PLATFORM,"[static, code, manual]","[L1, L2]",yes,MASWE-0058,Missing Input Validation in Custom URL Scheme Handlers,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PLATFORM-1,The app uses IPC mechanisms securely.
MASTG-TEST-0254,android,PRIVACY,"[static, code]",[P],no,MASWE-0117,Dangerous App Permissions,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-PRIVACY-1,The app minimizes access to sensitive data and resources.
MASTG-TEST-0318,android,PRIVACY,"[static, code]",[P],no,MASWE-0112,References to SDK APIs Known to Handle Sensitive User Data,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-PRIVACY-3,The app is transparent about data collection and usage.
MASTG-TEST-0224,android,RESILIENCE,"[static, code]",[R],no,MASWE-0104,Usage of Insecure APK Signature Version,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,需对已签名 APK 做二进制层校验（apksigner verify），非源码 semgrep 可覆盖；需自写脚本调用 apksigner/keytool 检测签名方案版本,MASVS-RESILIENCE-2,The app implements anti-tampering mechanisms.
MASTG-TEST-0225,android,RESILIENCE,"[static, code]",[R],no,MASWE-0104,Usage of Insecure APK Signature Key Size,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,需对已签名 APK 做二进制层校验，非源码 semgrep 可覆盖；需自写脚本调用 apksigner/keytool 检测签名证书密钥长度,MASVS-RESILIENCE-2,The app implements anti-tampering mechanisms.
MASTG-TEST-0226,android,RESILIENCE,"[static, code]",[R],no,MASWE-0067,Debuggable Flag Enabled in the AndroidManifest,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-4,The app implements anti-dynamic analysis techniques.
MASTG-TEST-0227,android,RESILIENCE,"[static, code]",[R],no,MASWE-0067,Debugging Enabled for WebViews,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-RESILIENCE-4,The app implements anti-dynamic analysis techniques.
MASTG-TEST-0247,android,RESILIENCE,"[static, code]",[L2],no,MASWE-0008,References to APIs for Detecting Secure Screen Lock,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-1,The app validates the integrity of the platform.
MASTG-TEST-0265,android,RESILIENCE,"[static, code]",[R],no,MASWE-0094,References to StrictMode APIs,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-3,The app implements anti-static analysis mechanisms.
MASTG-TEST-0288,android,RESILIENCE,"[static, code]",[R],no,MASWE-0093,Debugging Symbols in Native Binaries,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,需对 native .so 二进制做符号表检查（nm/strip 校验），非源码模式匹配；需自写二进制检测脚本,MASVS-RESILIENCE-3,The app implements anti-static analysis mechanisms.
MASTG-TEST-0324,android,RESILIENCE,"[static, code]",[R],no,MASWE-0097,References to Root Detection Mechanisms,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-1,The app validates the integrity of the platform.
MASTG-TEST-0338,android,RESILIENCE,"[static, code, manual]",[R],yes,MASWE-0105,References to Storage Integrity Check APIs,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-2,The app implements anti-tampering mechanisms.
MASTG-TEST-0352,android,RESILIENCE,"[static, code, manual]",[R],yes,MASWE-0101,References to Debugging Detection APIs,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-RESILIENCE-4,The app implements anti-dynamic analysis techniques.
MASTG-TEST-0368,android,RESILIENCE,"[static, code, manual]",[R],yes,MASWE-0089,Insufficient Obfuscation of Security-Relevant Java/Kotlin Code,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-RESILIENCE-3,The app implements anti-static analysis mechanisms.
MASTG-TEST-0369,android,RESILIENCE,"[static, package, manual]",[R],yes,MASWE-0089,Insufficient Obfuscation of Security-Relevant Native Code,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,no,需对 native 二进制做逆向/符号混淆度评估，非 semgrep 源码规则可覆盖；需自写原生二进制分析脚本或引入专用逆向评估工具,MASVS-RESILIENCE-3,The app implements anti-static analysis mechanisms.
MASTG-TEST-0202,android,STORAGE,"[static, code, manual]","[L1, L2]",yes,MASWE-0007,References to APIs and Permissions for Accessing External Storage,semi,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-STORAGE-1,The app securely stores sensitive data.
MASTG-TEST-0231,android,STORAGE,"[static, code]","[L1, L2, P]",no,MASWE-0001,References to Logging APIs,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-STORAGE-2,The app prevents leakage of sensitive data.
MASTG-TEST-0262,android,STORAGE,"[static, code]","[L1, L2, P]",no,MASWE-0004,References to Backup Configurations Not Excluding Sensitive Data,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,yes,,MASVS-STORAGE-2,The app prevents leakage of sensitive data.
MASTG-TEST-0304,android,STORAGE,"[static, code]","[L1, L2]",no,MASWE-0006,References to Sensitive Data Unencrypted via Android Room Database,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-STORAGE-1,The app securely stores sensitive data.
MASTG-TEST-0305,android,STORAGE,"[static, dynamic]","[L1, L2]",no,MASWE-0006,Sensitive Data Stored Unencrypted via DataStore,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-STORAGE-1,The app securely stores sensitive data.
MASTG-TEST-0306,android,STORAGE,"[static, code]","[L1, L2]",no,MASWE-0006,References to Sensitive Data Stored Unencrypted via Android Room DB,auto,mobsfscan + MASTG semgrep 规则 + p/java/p/kotlin,yes,partial,无精确现成规则，通用 SAST 初筛后人工确认,MASVS-STORAGE-1,The app securely stores sensitive data.
MASTG-TEST-0266,ios,AUTH,"[static, code]",[L2],no,MASWE-0044,References to APIs for Event-Bound Biometric Authentication,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0268,ios,AUTH,"[static, code]",[L2],no,MASWE-0045,References to APIs Allowing Fallback to Non-Biometric Authentication,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0270,ios,AUTH,"[static, code]",[L2],no,MASWE-0046,References to APIs Detecting Biometric Enrollment Changes,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,yes,,MASVS-AUTH-2,The app performs local authentication securely according to the platform best practices.
MASTG-TEST-0228,ios,CODE,"[static, code]",[L2],no,MASWE-0116,Position Independent Code (PIC) not Enabled,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,no,二进制层 Mach-O 编译标志检查（PIE/Stack Canary），非源码模式匹配范畴；需 otool/checksec 类工具检测二进制编译标志，非 semgrep 规则可解决,MASVS-CODE-3; MASVS-CODE-4,The app only uses software components without known vulnerabilities. / The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0229,ios,CODE,"[static, code]",[L2],no,MASWE-0116,Stack Canaries Not enabled,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,no,二进制层 Mach-O 编译标志检查（PIE/Stack Canary），非源码模式匹配范畴；需 otool/checksec 类工具检测二进制编译标志，非 semgrep 规则可解决,MASVS-CODE-3; MASVS-CODE-4,The app only uses software components without known vulnerabilities. / The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0230,ios,CODE,"[static, code]",[L2],no,MASWE-0116,Automatic Reference Counting (ARC) not enabled,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CODE-3; MASVS-CODE-4,The app only uses software components without known vulnerabilities. / The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0273,ios,CODE,"[static, code]","[L1, L2]",no,MASWE-0076,Identify Dependencies with Known Vulnerabilities by Scanning Dependency Managers Artifacts,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,no,依赖已知漏洞比对属于 SCA（软件成分分析），非 semgrep 模式匹配范畴；需引入专用 SCA 工具（如 Trivy/Grype）扫描 CocoaPods/SPM/Carthage 依赖或 SBOM，而非自写 semgrep 规则,MASVS-CODE-3,The app only uses software components without known vulnerabilities.
MASTG-TEST-0275,ios,CODE,"[static, developer]","[L1, L2]",no,MASWE-0076,Dependencies with Known Vulnerabilities in the App's SBOM,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,no,依赖已知漏洞比对属于 SCA（软件成分分析），非 semgrep 模式匹配范畴；需引入专用 SCA 工具（如 Trivy/Grype）扫描 CocoaPods/SPM/Carthage 依赖或 SBOM，而非自写 semgrep 规则,MASVS-CODE-3,The app only uses software components without known vulnerabilities.
MASTG-TEST-0383,ios,CODE,"[static, code, manual]",[L2],yes,MASWE-0075,References to Enforced Updating APIs,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CODE-2,The app has a mechanism for enforcing app updates.
MASTG-TEST-0386,ios,CODE,"[static, code, manual]","[L1, L2]",yes,MASWE-0088,References to Object Deserialization of Untrusted Data,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CODE-4,The app validates and sanitizes all untrusted inputs.
MASTG-TEST-0209,ios,CRYPTO,"[static, code]","[L1, L2]",no,MASWE-0009,Insufficient Key Sizes,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0210,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0020,Broken Symmetric Encryption Algorithms,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0211,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0021,Broken Hashing Algorithms,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0213,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0014,Use of Hardcoded Cryptographic Keys in Code,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,yes,,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0214,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0014,Hardcoded Cryptographic Keys in Files,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,yes,,MASVS-CRYPTO-2,The app performs key management according to industry best practices.
MASTG-TEST-0311,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0027,Insecure Random API Usage,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0317,ios,CRYPTO,"[static, code, manual]","[L1, L2]",yes,MASWE-0020,Broken Symmetric Encryption Modes,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-CRYPTO-1,The app employs current strong cryptography and uses it according to industry best practices.
MASTG-TEST-0321,ios,NETWORK,"[static, code]","[L1, L2]",no,MASWE-0050,Hardcoded HTTP URLs,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-NETWORK-1,The app secures all network traffic according to the current best practices.
MASTG-TEST-0322,ios,NETWORK,"[static, code, manual]","[L1, L2]",yes,MASWE-0050,App Transport Security Configurations Allowing Cleartext Traffic,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-NETWORK-1,The app secures all network traffic according to the current best practices.
MASTG-TEST-0323,ios,NETWORK,"[static, code, manual]","[L1, L2]",yes,MASWE-0050,Uses of Low-Level Networking APIs for Cleartext Traffic,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-NETWORK-1,The app secures all network traffic according to the current best practices.
MASTG-TEST-0342,ios,NETWORK,"[static, code]","[L1, L2]",no,MASWE-0050,References to Weak ATS TLS Policy Exceptions in Info.plist,auto,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-NETWORK-1,The app secures all network traffic according to the current best practices.
MASTG-TEST-0343,ios,NETWORK,"[static, code, manual]","[L1, L2]",yes,MASWE-0050,URLSession TLS Protocol Configuration,semi,mobsfscan + akabe1/insideapp(Swift); ObjC 走 mobsfscan libsast,yes,partial,iOS 原生若为 Objective-C，semgrep 无 AST 支持，仅能靠 mobsfscan libsast 正则初筛；若为 Swift 可结合 mobsfscan/社区规则（akabe1/insideapp）进一步初筛，但均无精确命中的官方规则，仍需人工确认；缺口可通过补充原生 libsast 正则或自写规则弥补精度,MASVS-NETWORK-1,The app secures all network traffic according to the current best practices.
